id,date_achieved,stage,difficulty,stage_time,system,video_id,comments
0,1/1/0001,Dam,Agent,0:20:00,,,
0,1/1/0001,Dam,Secret Agent,0:20:00,,,
0,1/1/0001,Dam,00 Agent,0:20:00,,,
0,1/1/0001,Facility,Agent,0:20:00,,,
0,1/1/0001,Facility,Secret Agent,0:20:00,,,
0,1/1/0001,Facility,00 Agent,0:20:00,,,
0,1/1/0001,Runway,Agent,0:20:00,,,
0,1/1/0001,Runway,Secret Agent,0:20:00,,,
0,1/1/0001,Runway,00 Agent,0:20:00,,,
0,1/1/0001,Surface 1,Agent,0:20:00,,,
0,1/1/0001,Surface 1,Secret Agent,0:20:00,,,
0,1/1/0001,Surface 1,00 Agent,0:20:00,,,
0,1/1/0001,Bunker 1,Agent,0:20:00,,,
0,1/1/0001,Bunker 1,Secret Agent,0:20:00,,,
0,1/1/0001,Bunker 1,00 Agent,0:20:00,,,
0,1/1/0001,Silo,Agent,0:20:00,,,
0,1/1/0001,Silo,Secret Agent,0:20:00,,,
0,1/1/0001,Silo,00 Agent,0:20:00,,,
0,1/1/0001,Frigate,Agent,0:20:00,,,
0,1/1/0001,Frigate,Secret Agent,0:20:00,,,
0,1/1/0001,Frigate,00 Agent,0:20:00,,,
0,1/1/0001,Surface 2,Agent,0:20:00,,,
0,1/1/0001,Surface 2,Secret Agent,0:20:00,,,
0,1/1/0001,Surface 2,00 Agent,0:20:00,,,
0,1/1/0001,Bunker 2,Agent,0:20:00,,,
0,1/1/0001,Bunker 2,Secret Agent,0:20:00,,,
0,1/1/0001,Bunker 2,00 Agent,0:20:00,,,
0,1/1/0001,Statue,Agent,0:20:00,,,
0,1/1/0001,Statue,Secret Agent,0:20:00,,,
0,1/1/0001,Statue,00 Agent,0:20:00,,,
0,1/1/0001,Archives,Agent,0:20:00,,,
0,1/1/0001,Archives,Secret Agent,0:20:00,,,
0,1/1/0001,Archives,00 Agent,0:20:00,,,
0,1/1/0001,Streets,Agent,0:20:00,,,
0,1/1/0001,Streets,Secret Agent,0:20:00,,,
0,1/1/0001,Streets,00 Agent,0:20:00,,,
0,1/1/0001,Depot,Agent,0:20:00,,,
0,1/1/0001,Depot,Secret Agent,0:20:00,,,
0,1/1/0001,Depot,00 Agent,0:20:00,,,
0,1/1/0001,Train,Agent,0:20:00,,,
0,1/1/0001,Train,Secret Agent,0:20:00,,,
0,1/1/0001,Train,00 Agent,0:20:00,,,
0,1/1/0001,Jungle,Agent,0:20:00,,,
0,1/1/0001,Jungle,Secret Agent,0:20:00,,,
0,1/1/0001,Jungle,00 Agent,0:20:00,,,
0,1/1/0001,Control,Agent,0:20:00,,,
0,1/1/0001,Control,Secret Agent,0:20:00,,,
0,1/1/0001,Control,00 Agent,0:20:00,,,
0,1/1/0001,Caverns,Agent,0:20:00,,,
0,1/1/0001,Caverns,Secret Agent,0:20:00,,,
0,1/1/0001,Caverns,00 Agent,0:20:00,,,
0,1/1/0001,Cradle,Agent,0:20:00,,,
0,1/1/0001,Cradle,Secret Agent,0:20:00,,,
0,1/1/0001,Cradle,00 Agent,0:20:00,,,
0,1/1/0001,Aztec,Agent,0:20:00,,,
0,1/1/0001,Aztec,Secret Agent,0:20:00,,,
0,1/1/0001,Aztec,00 Agent,0:20:00,,,
0,1/1/0001,Egypt,Agent,0:20:00,,,
0,1/1/0001,Egypt,Secret Agent,0:20:00,,,
0,1/1/0001,Egypt,00 Agent,0:20:00,,,
1,11/14/18,Runway,Agent,0:00:49,NTSC,,
2,11/14/18,Surface 1,Agent,0:01:57,NTSC,,
3,11/14/18,Bunker 1,Agent,0:01:58,NTSC,,
4,11/19/18,Dam,Agent,0:00:57,NTSC,HcY2wQPLVso,I didn't realize when I recorded this that it's right ear audio only. Whoops! I hope that's still fine.
5,11/21/18,Facility,Agent,0:05:03,NTSC,,
6,11/21/18,Runway,Agent,0:00:31,NTSC,,
7,11/21/18,Facility,Agent,0:02:12,NTSC,,
8,11/21/18,Silo,Agent,0:08:52,NTSC,,
9,11/21/18,Frigate,Agent,0:02:29,NTSC,,
10,11/21/18,Surface 2,Agent,0:06:28,NTSC,,
11,11/21/18,Bunker 2,Agent,0:02:01,NTSC,,
12,3/8/19,Runway,Agent,0:00:30,NTSC,,
13,3/10/19,Runway,Agent,0:00:29,NTSC,qPtnBjF6rAY,
14,3/10/19,Runway,Agent,0:00:26,NTSC,xtKoe6_l7V8,
15,3/10/19,Statue,Agent,0:04:37,NTSC,DuYSVtYdQiY,
16,3/10/19,Archives,Agent,0:01:02,NTSC,FQsu-Uk3_6s,
17,3/10/19,Streets,Agent,0:01:54,NTSC,3Ic_7PfeaQs,
18,3/10/19,Depot,Agent,0:01:05,NTSC,9ZFBjZgcp7I,
19,3/10/19,Train,Agent,0:04:41,NTSC,Cmp5BpDw5o0,
20,6/6/19,Dam,Agent,0:00:56,NTSC,PT4KCRqj4VQ,"It is now 2:30 in the morning, I think I can go to sleep now."
21,8/27/19,Jungle,Agent,0:06:06,NTSC,,
22,8/27/19,Dam,Secret Agent,0:02:03,NTSC,,
23,8/27/19,Surface 1,Agent,0:01:29,NTSC,,
24,8/27/19,Surface 1,Agent,0:01:25,NTSC,,
25,8/27/19,Surface 1,Agent,0:01:21,NTSC,,
26,8/27/19,Streets,Agent,0:01:26,NTSC,,
27,8/27/19,Surface 1,Agent,0:01:20,NTSC,WLkajSF6To0,
28,8/27/19,Streets,Agent,0:01:23,NTSC,-quQ68JrsO4,
29,8/27/19,Streets,Agent,0:01:20,NTSC,YEewuEi2d44,
30,8/27/19,Streets,Agent,0:01:19,NTSC,KLOJh9_4PkE,Now I'm in the legendary 1:10's!
31,8/27/19,Surface 1,Agent,0:01:17,NTSC,Fc7VvTlyqrA,
32,8/27/19,Surface 1,Agent,0:01:14,NTSC,8dh_kf__trI,
33,8/27/19,Dam,Secret Agent,0:01:53,NTSC,1CWWE9vjce8,
34,8/27/19,Dam,Secret Agent,0:01:44,NTSC,PGCdSVw12aY,
35,8/27/19,Dam,Secret Agent,0:01:43,NTSC,02HCZlN-0og,
36,8/28/19,Facility,Agent,0:01:33,NTSC,ia66H4aEZmk,#SpeedLore
37,8/29/19,Streets,Agent,0:01:18,NTSC,2dOEQS-hPCs,2.2 ftw
38,8/31/19,Control,Agent,0:14:14,NTSC,,
